id,rank,name,symbol,priceUsd,changePercent24Hr,changePercent24HrFormatted
bitcoin,1,Bitcoin,BTC,110932.46968495347,1.5463837330844394,155%
ethereum,2,Ethereum,ETH,2664.6189797643156,3.6379367490185675,364%
tether,3,Tether,USDT,1.000129790200862,-0.0433603739016021,-4%
xrp,4,XRP,XRP,2.428091221161435,1.2736716265657626,127%
binance-coin,5,BNB,BNB,685.4214455336918,3.978570442135271,398%
solana,6,Solana,SOL,178.75535727396087,3.566715019889239,357%
usd-coin,7,USDC,USDC,1.0000470686710397,-0.0174855768853549,-2%
dogecoin,8,Dogecoin,DOGE,0.2407840806901112,3.336026706307931,334%
cardano,9,Cardano,ADA,0.8026098348709433,4.942126710344,494%
tron,10,TRON,TRX,0.2783384451724583,2.0451634196371073,205%
